id,document_type_id,title,language_id,indicator,began_use_on,ended_use_on
1,1,MCLB-05112010-eng,1,4/18/2011,5/11/2010,4/18/2011
2,1,CHO-1999-eng,1,12/31/1999,12/31/1999,
3,1,CHO-2000-eng,1,12/31/2000,12/31/2000,
4,1,CHO-2000-span,3,12/31/2000,12/31/2000,
5,1,CHO-05282002-eng,1,5/28/2003,5/28/2002,5/28/2003
6,1,CHO-10162002-span,3,10/16/2003,10/16/2002,10/16/2003
7,1,CHO-06192003-eng,1,6/19/2004,6/19/2003,6/19/2004
8,1,CHO-06192003-span,3,6/19/2004,6/19/2003,6/19/2004
9,1,CHO-03252004-eng,1,3/25/2006,3/25/2004,3/25/2006
10,1,CHO-03252004-span,3,3/25/2005,3/25/2004,3/25/2005
11,1,CHO-06162005-eng,1,6/16/2006,6/16/2005,6/16/2006
12,1,CHO-06162005-span,3,6/16/2006,6/16/2005,6/16/2006
13,1,CHO-06182006-eng,1,6/28/2007,6/18/2006,6/28/2007
14,1,CHO-06042007-eng,1,6/27/2008,06/04/2007,06/27/2008
15,1,CHO-06042007-span,3,6/27/2008,06/04/2007,06/27/2008
16,1,CHO-03252008-eng,1,6/27/2008,03/25/2008,06/27/2008
17,1,CHO-06262008-eng,1,6/26/2009,06/26/2008,06/26/2009
18,1,CHO-06262008-span,3,6/26/2010,06/26/2008,06/26/2010
19,1,CHO-06012009-eng,1,6/25/2010,06/01/2009,06/25/2010
20,1,CHO-07072009-span,3,6/25/2010,07/07/2009,06/25/2010
21,1,CHO-06242010-eng,1,6/24/2011,06/24/2010,06/24/2011
22,1,CHO-06242010-span,3,6/24/2011,06/24/2010,06/24/2011
23,1,PCHS-09011999-eng,1,9/1/2000,9/1/1999,9/1/2000
24,1,PCHS-08222000-span,3,8/21/2001,8/22/2000,8/21/2001
25,1,PCHS-08222000-eng,1,8/21/2001,8/22/2000,8/21/2001
26,1,PCHS-09012000-eng,1,9/1/2001,9/1/2000,9/1/2001
27,1,PCHS-08142001-span,3,8/13/2002,8/14/2001,8/13/2002
28,1,PCHS-08142001-eng,1,8/13/2002,8/14/2001,8/13/2002
29,1,PCHS-08132002-span,3,8/12/2003,8/13/2002,8/12/2003
30,1,PCHS-08132002-eng,1,8/12/2003,8/13/2002,8/12/2003
31,1,PCHS-08122003-span,3,8/11/2004,8/12/2003,8/11/2004
32,1,PCHS-08122003-eng,1,8/11/2004,8/12/2003,8/11/2004
33,1,PCHS-08102004-span,3,8/9/2005,8/10/2004,8/9/2005
34,1,PCHS-08102004-eng,1,8/10/2005,8/10/2004,8/10/2005
35,1,PCHS-08092005-span,3,8/8/2006,8/9/2005,8/8/2006
36,1,PCHS-08092005-eng,1,8/8/2006,8/9/2005,8/8/2006
37,1,PCHS-07262006-span,3,7/25/2007,7/26/2006,7/25/2007
38,1,PCHS-07192006-eng,1,7/18/2007,7/19/2006,7/18/2007
39,1,PCHS-07182007-span,3,7/17/2008,7/18/2007,7/17/2008
40,1,PCHS-07182007-eng,1,7/17/2008,7/18/2007,7/17/2008
41,1,PCHS-03192008-span,3,7/17/2008,3/19/2008,7/17/2008
42,1,PCHS-03192008-eng,1,7/17/2008,3/19/2008,7/17/2008
43,1,PCHS-07162008-span,3,7/15/2009,7/16/2008,7/15/2009
44,1,PCHS-07162008-eng,1,7/15/2009,7/16/2008,7/15/2009
45,1,PCHS-06172009-span,3,6/16/2010,6/17/2009,6/16/2010
46,1,PCHS-06172009-eng,1,6/16/2010,6/17/2009,6/16/2010
47,1,PCHS-05122010-span,3,5/11/2011,5/12/2010,5/11/2011
48,1,PCHS-05122010-eng,1,5/11/2011,5/12/2010,5/11/2011
49,1,PCHS-04132011-span,3,4/12/2012,4/13/2011,4/12/2012
50,1,PCHS-04132011-eng,1,4/12/2010,4/13/2011,4/12/2010
51,1,KPSC-,1,9/25/2011,10/21/2010,9/25/2011
52,1,CHCC-1999-eng,1,12/31/1999,12/31/1999,
53,1,CHCC-2000-eng,1,12/31/2000,12/31/2000,
54,1,CHCC-04032001-eng,1,4/3/2002,4/3/2001,4/3/2002
55,1,CHCC-03062002-eng,1,3/5/2003,3/6/2002,3/5/2003
56,1,CHCC-06052002-eng,1,3/5/2003,6/5/2002,3/5/2003
57,1,CHCC-06052002-span,3,3/5/2003,6/5/2002,3/5/2003
58,1,CHCC-02052003-eng,1,2/4/2004,2/5/2003,2/4/2004
59,1,CHCC-02052003-span,3,1/7/2004,2/5/2003,1/7/2004
60,1,CHCC-01072004-eng,1,1/6/2005,1/7/2004,1/6/2005
61,1,CHCC-01072004-span,3,1/6/2005,1/7/2004,1/6/2005
62,1,CHCC-12012004-eng,1,11/30/2005,12/1/2004,11/30/2005
63,1,CHCC-01042005-eng,1,11/2/2005,1/4/2005,11/2/2005
64,1,CHCC-05242005-eng,1,11/30/2005,5/24/2005,11/30/2005
65,1,CHCC-05242005-span,3,11/30/2005,5/24/2005,11/30/2005
66,1,CHCC-10052005-eng,1,10/4/2006,10/5/2005,10/4/2006
67,1,CHCC-10052005-span,3,10/4/2006,10/5/2005,10/4/2006
68,1,CHCC-02272006-eng,1,10/4/2006,2/27/2006,10/4/2006
69,1,CHCC-04102006-span,3,10/4/2006,4/10/2006,10/4/2006
70,1,CHCC-10042006-eng,1,10/3/2007,10/4/2006,10/3/2007
71,1,CHCC-10032006-span,3,10/3/2007,10/3/2006,10/3/2007
72,1,CHCC-03202007-eng,1,10/3/2007,3/20/2007,10/3/2007
73,1,CHCC-03202007-span,3,10/3/2007,3/20/2007,10/3/2007
74,1,CHCC-09052007-eng,1,9/4/2008,09/05/2007,09/04/2008
75,1,CHCC-09052007-span,3,9/4/2008,09/05/2007,09/04/2008
76,1,CHCC-03132008-eng,1,9/4/2008,03/13/2008,09/04/2008
77,1,CHCC-03132008-span,3,9/4/2008,03/13/2008,09/04/2008
78,1,CHCC-08132008-eng,1,8/5/2009,08/13/2008,08/05/2009
79,1,CHCC-08132008-span,3,8/5/2009,08/13/2008,08/05/2009
80,1,CHCC-08052009-eng,1,8/4/2010,08/05/2009,08/04/2010
81,1,CHCC-08052009-span,3,8/4/2010,08/05/2009,08/04/2010
82,1,CHCC-07072010-eng,1,7/6/2011,07/07/2010,07/06/2011
83,1,CHCC-07072010-span,3,7/6/2011,07/07/2010,07/06/2011
84,1,KPNC-1996-eng,1,12/31/1996,12/31/1996,
85,1,KPNC-1999-eng,1,12/31/1999,12/31/1999,
86,1,KPNC-1999-span,3,12/31/1999,12/31/1999,
87,1,KPNC-2000-eng,1,12/31/2000,12/31/2000,
88,1,KPNC-2000-span,3,12/31/2000,12/31/2000,
89,1,KPNC-2001-eng,1,12/31/2001,12/31/2001,
90,1,KPNC-2001-span,3,12/31/2001,12/31/2001,
91,1,KPNC-06202002-eng,1,3/28/2003,6/20/2002,3/28/2003
92,1,KPNC-06202002-span,3,3/28/2003,6/20/2002,3/28/2003
93,1,KPNC-08202003-eng,1,3/18/2004,8/20/2003,3/18/2004
94,1,KPNC-03282003-eng,1,3/18/2004,3/28/2003,3/18/2004
95,1,KPNC-03182004-eng,1,3/17/2005,3/18/2004,3/17/2005
96,1,KPNC-02182005-eng,1,2/16/2006,2/18/2005,2/16/2006
97,1,KPNC-02182005-span,3,2/16/2006,2/18/2005,2/16/2006
98,1,KPNC-08112006-eng,1,2/15/2007,8/11/2006,2/15/2007
99,1,KPNC-08112006-span,3,2/15/2007,8/11/2006,2/15/2007
100,1,KPNC-02192007-eng,1,2/19/2008,2/19/2007,2/19/2008
101,1,KPNC-02192007-span,3,2/19/2008,2/19/2007,2/19/2008
102,1,KPNC-05272008-eng,1,8/1/2009,5/27/2008,8/1/2009
103,1,KPNC-05272008-span,3,8/1/2009,5/27/2008,8/1/2009
104,1,UCD-01052000-eng,1,1/5/2001,1/5/2000,1/5/2001
105,1,UCD-11012000-span,3,11/1/2001,11/1/2000,11/1/2001
106,1,UCD-11012001-eng,1,10/11/2002,11/1/2001,10/11/2002
107,1,UCD-11012001-span,3,10/11/2002,11/1/2001,10/11/2002
108,1,UCD-10112002-eng,1,8/25/2003,10/11/2002,8/25/2003
109,1,UCD-12182003-span,3,8/25/2004,12/18/2003,8/25/2004
110,1,UCD-08252003-eng,1,6/12/2004,8/25/2003,6/12/2004
111,1,UCD-07122004-eng,1,7/12/2005,7/12/2004,7/12/2005
112,1,UCD-05232005-eng,1,5/23/2006,5/23/2005,5/23/2006
113,1,UCD-05082006-eng,1,5/8/2007,5/8/2006,5/8/2007
114,1,UCD-04182007-span,3,4/18/2008,4/18/2007,4/18/2008
115,1,UCD-04182007-eng,1,4/18/2008,4/18/2007,4/18/2008
116,1,UCD-03242008-span,3,3/24/2009,3/24/2008,3/24/2009
117,1,UCD-03242008-eng,1,3/24/2009,3/24/2008,3/24/2009
118,1,UCD-04092009-span,3,2/22/2010,4/9/2009,2/22/2010
119,1,UCD-02232009-eng,1,2/22/2010,2/23/2009,2/22/2010
120,1,UCD-02222010-span,3,2/21/2011,2/22/2010,2/21/2011
121,1,UCD-02222010-eng,1,2/21/2011,2/22/2010,2/21/2011
122,1,UCD-02182011-span,3,2/17/2012,2/18/2011,2/17/2012
123,1,UCD-02182011-eng,1,2/17/2012,2/18/2011,2/17/2012
124,1,CPMC-03102011-eng,1,2/21/2010,3/10/2011,2/21/2010
125,1,UCSF-12201999-eng,1,9/11/2000,12/20/1999,9/11/2000
126,1,UCSF-08032000-span,3,8/3/2001,8/3/2000,8/3/2001
127,1,UCSF-08032000-eng,1,8/3/2001,8/3/2000,8/3/2001
128,1,UCSF-07192001-span,3,7/19/2002,7/19/2001,7/19/2002
129,1,UCSF-07192001-eng,1,7/19/2002,7/19/2001,7/19/2002
130,1,UCSF-11142002-span,3,7/16/2003,11/14/2002,7/16/2003
131,1,UCSF-07302002-eng,1,7/30/2003,7/30/2002,7/30/2003
132,1,UCSF-08162002-eng,1,7/16/2003,8/16/2002,7/16/2003
133,1,UCSF-05022003-span,3,5/2/2004,5/2/2003,5/2/2004
134,1,UCSF-05022003-eng,1,5/2/2004,5/2/2003,5/2/2004
135,1,UCSF-08272003-eng,1,8/27/2004,8/27/2003,8/27/2004
136,1,UCSF-06172004-span,3,6/17/2005,6/17/2004,6/17/2005
137,1,UCSF-06172004-eng,1,6/17/2005,6/17/2004,6/17/2005
138,1,UCSF-06242005-eng,1,6/9/2006,6/24/2005,6/9/2006
139,1,UCSF-06242005-span,3,6/9/2006,6/24/2005,6/9/2006
140,1,UCSF-06202006-eng,1,5/11/2007,6/20/2006,5/11/2007
141,1,UCSF-06202006-span,3,5/11/2007,6/20/2006,5/11/2007
142,1,UCSF-04262007-eng,1,5/11/2008,4/26/2007,5/11/2008
143,1,UCSF-04262007-span,3,5/11/2008,4/26/2007,5/11/2008
144,1,UCSF-05082008-span,3,5/11/2009,5/8/2008,5/11/2009
145,1,UCSF-05082008-eng,1,5/11/2009,5/8/2008,5/11/2009
146,1,UCSF-05122009-span,3,5/12/2010,5/12/2009,5/12/2010
147,1,UCSF-05122009-eng,1,5/12/2009,5/12/2009,5/12/2009
148,1,UCSF-05112010-span,3,5/12/2011,5/11/2010,5/12/2011
149,1,UCSF-05112010-eng,1,5/12/2011,5/11/2010,5/12/2011
150,1,RCSD-03032011-eng,1,3/1/2012,3/3/2011,3/1/2012
151,1,UCLA-10282010-eng,1,10/27/2011,10/28/2010,10/27/2011
152,1,CHOC-11152010-eng,1,10/18/2011,11/15/2010,10/18/2011
153,1,CCLS-control-eng,1,,,
154,1,CCLS-control-span,3,,,
